Device,寄存器地址需+(n-1)*2400（十进制）,测点名称,Register name,Data type,Unit,Note
"BAMS[n]
第n号从机的电池堆数据
( n∈[1,25] )",5690,电压,Total Voltage,uint16,0.1 V,
,5691,电流,Total Current,int16,0.1 A,
,5692,SOC,SOC,uint16,0.1%,
,5693,SOH,SOH,uint16,0.1%,
,5694,最大充电电流,Maximum Charge Current,uint16,0.1A,
,5695,最大放电电流,Maximum Discharge Current,uint16,0.1A,
,5696,总充电量,Total Charge energy,uint32,0.1kWh,
,5697,,,,,
,5698,总放电量,Total Discharge energy,uint32,0.1kWh,
,5699,,,,,
,5700,充放电循环次数,Number Of Battery Cycle,uint16,,
,5701,绝缘阻抗,Insulated resistance,uint16,1kΩ,
,5702,允许充电标志位,Allow charging flag,uint16,,
,5703,允许放电标志位,Allow discharging flag,uint16,,
,5704,欠压申请充电标志位,apply charging flag,uint16,,"Note: When the external scheduling party detects the battery's under-voltage forced charging flag, it is required to charge the battery promptly until the under-voltage forced charging flag is cleared.
注：外部调度方在检测到电池的欠压强充标记时，需及时给电池进行充电，直至欠压强充标记清除。"
,5705,SOC需要校准标志位,soc need calibration flag,uint16,,"Note: The external scheduling party is required to perform a full charge on the battery when the battery's application calibration flag is detected.
注：需要外部调度方在检测到电池的申请校准标记时给电池进行一次满充。"
,5706,实际功率,Actual Power,int16,0.1kW,
,5707,最高电芯电压,Maximum Cell Voltage,int16,0.001V,
,5708,最高电芯电压RACK位置,Maximum Cell Voltage Position（#RACK）,uint16,,
,5709,最高电芯电压PACK位置,Maximum Cell Voltage Position（#PACK）,uint16,,
,5710,最高电芯电压CELL位置,Maximum Cell Voltage Position（#CELL）,uint16,,
,5711,最低电芯电压,Minimum Cell Voltage,int16,0.001V,
,5712,最低电芯电压RACK位置,Maximum Cell Voltage Position（#RACK）,uint16,,
,5713,最低电芯电压PACK位置,Maximum Cell Voltage Position（#PACK）,uint16,,
,5714,最低电芯电压CELL位置,Maximum Cell Voltage Position（#CELL）,uint16,,
,5715,最高电芯温度,Maximum Cell Temperature,int16,0.1℃ ,
,5716,最高电芯温度RACK位置,Maximum Cell Temperature Position（#RACK),uint16,,
,5717,最高电芯温度PACK位置,Maximum Cell Temperature Position（#PACK),uint16,,
,5718,最高电芯温度测温点位置,Maximum Cell Temperature Position（#POINT),uint16,,
,5719,最低电芯温度,Minimum Cell Temperature,int16,0.1℃ ,
,5720,最低电芯温度RACK位置,Minimum Cell Temperature Position（#RACK),uint16,,
,5721,最低电芯温度PACK位置,Minimum Cell Temperature Position（#PACK),uint16,,
,5722,最低电芯温度测温点位置,Minimum Cell Temperature Position（#POINT),uint16,,
,5723,最高极柱温度,Maximum pole temperature,int16,0.1℃ ,
,5724,主继电器状态,main_relay_status,uint32,,"bit_n：Representing the main relay status of cluster n+1，n∈[0~31].
0：open；1：close"
,5725,,,,,
,5726,预留,Reserved,,,
,5727,通讯状态,communication status,uint16,,1:normal 0:lost
,5728,BMS故障信息1,bms_fault1,uint32,,
,5729,,,,,
,5730,BMS故障信息2,bms_fault2,uint32,,
,5731,,,,,
,5732,BMS故障信息3,bms_fault3,uint32,,
,5733,,,,,
,5734,BMS故障信息4,bms_fault4,uint32,,
,5735,,,,,
,5736,BMS故障信息5（I/II/III级报警）,bms_fault5,uint32,,
,5737,,,,,
,5738,BMS故障信息6（I/II/III级报警）,bms_fault6,uint32,,
,5739,,,,,
,5740,BMS故障信息7（I/II/III级报警）,bms_fault7,uint32,,
,5741,,,,,
,5742,BMS故障信息8（I/II/III级报警）,bms_fault8,uint32,,
,5743,,,,,
,5744~5769,预留,Reserved,,,
