Device,寄存器地址（十进制）,测点名称,Register name,Data type,Unit,Note
"grid_gw_meter
电网关口电表",100,A相电压,A phase voltage,int32,0.1V,
,101,,,,,
,102,B相电压,B phase voltage,int32,0.1V,
,103,,,,,
,104,C相电压,C phase voltage,int32,0.1V,
,105,,,,,
,106,A相电流,A phase current,int32,0.1A,
,107,,,,,
,108,B相电流,B phase current,int32,0.1A,
,109,,,,,
,110,C相电流,C phase current,int32,0.1A,
,111,,,,,
,112,频率,Frequency,uint16,0.001Hz,
,113,总功率因数,Total PF ,int16,0.01PF,
,114,A相有功功率,A active power,int32,0.1kW,
,115,,,,,
,116,B相有功功率,B active power,int32,0.1kW,
,117,,,,,
,118,C相有功功率,C active power,int32,0.1kW,
,119,,,,,
,120,A相视在功率,A apparent power,int32,0.1kVA,
,121,,,,,
,122,B相视在功率,B apparent power,int32,0.1kVA,
,123,,,,,
,124,C相视在功率,C apparent power,int32,0.1kVA,
,125,,,,,
,126,总有功功率,Total active power,int32,0.1kW,
,127,,,,,
,128,总无功功率,Total reactive power,int32,0.1kVar,
,129,,,,,
,130,总视在功功率,Total apparent power,int32,0.1kVA,
,131,,,,,
,132,正向有功电能,Positive active electric energy,uint32,0.01kWh,"Primary side, energy = Value * 0.01 * CT multiplier * PT multiplier"
,133,,,,,
,134,反向有功电能,Reverse active electric energy,uint32,0.01kWh,"Primary side, energy = Value * 0.01 * CT multiplier * PT multiplier"
,135,,,,,
,136,当前正向有功最大需量,The current maximum positive active power demand,uint32,0.1kW,
,137,,,,,
,138,通讯状态,communication status,int16,,1:normal 0:lost
,139,CT倍率,ct_ratio,int16,,
,140,PT倍率,pt_ratio,uint16,,
,141~159,预留,Reserved,,,
"dg_meter
柴油机电表",160,A相电压,A phase voltage,int32,0.1V,
,161,,,,,
,162,B相电压,B phase voltage,int32,0.1V,
,163,,,,,
,164,C相电压,C phase voltage,int32,0.1V,
,165,,,,,
,166,A相电流,A phase current,int32,0.1A,
,167,,,,,
,168,B相电流,B phase current,int32,0.1A,
,169,,,,,
,170,C相电流,C phase current,int32,0.1A,
,171,,,,,
,172,频率,Frequency,uint16,0.001Hz,
,173,总功率因数,Total PF ,int16,0.01PF,
,174,A相有功功率,A active power,int32,0.1kW,
,175,,,,,
,176,B相有功功率,B active power,int32,0.1kW,
,177,,,,,
,178,C相有功功率,C active power,int32,0.1kW,
,179,,,,,
,180,A相视在功率,A apparent power,int32,0.1kVA,
,181,,,,,
,182,B相视在功率,B apparent power,int32,0.1kVA,
,183,,,,,
,184,C相视在功率,C apparent power,int32,0.1kVA,
,185,,,,,
,186,总有功功率,Total active power,int32,0.1kW,
,187,,,,,
,188,总无功功率,Total reactive power,int32,0.1kVar,
,189,,,,,
,190,总视在功功率,Total apparent power,int32,0.1kVA,
,191,,,,,
,192,正向有功电能,Positive active electric energy,uint32,0.01kWh,"Primary side, energy = Value * 0.01 * CT multiplier * PT multiplier"
,193,,,,,
,194,反向有功电能,Reverse active electric energy,uint32,0.01kWh,"Primary side, energy = Value * 0.01 * CT multiplier * PT multiplier"
,195,,,,,
,196,当前正向有功最大需量,The current maximum positive active power demand,uint32,0.1kW,
,197,,,,,
,198,通讯状态,communication status,int16,,1:normal 0:lost
,199,CT倍率,ct_ratio,int16,,
,200,PT倍率,pt_ratio,uint16,,
,201~219,预留,Reserved,,,
"pv_gw_meter
光伏并网点电表",220,A相电压,A phase voltage,int32,0.1V,
,221,,,,,
,222,B相电压,B phase voltage,int32,0.1V,
,223,,,,,
,224,C相电压,C phase voltage,int32,0.1V,
,225,,,,,
,226,A相电流,A phase current,int32,0.1A,
,227,,,,,
,228,B相电流,B phase current,int32,0.1A,
,229,,,,,
,230,C相电流,C phase current,int32,0.1A,
,231,,,,,
,232,频率,Frequency,uint16,0.001Hz,
,233,总功率因数,Total PF ,int16,0.01PF,
,234,A相有功功率,A active power,int32,0.1kW,
,235,,,,,
,236,B相有功功率,B active power,int32,0.1kW,
,237,,,,,
,238,C相有功功率,C active power,int32,0.1kW,
,239,,,,,
,240,A相视在功率,A apparent power,int32,0.1kVA,
,241,,,,,
,242,B相视在功率,B apparent power,int32,0.1kVA,
,243,,,,,
,244,C相视在功率,C apparent power,int32,0.1kVA,
,245,,,,,
,246,总有功功率,Total active power,int32,0.1kW,
,247,,,,,
,248,总无功功率,Total reactive power,int32,0.1kVar,
,249,,,,,
,250,总视在功功率,Total apparent power,int32,0.1kVA,
,251,,,,,
,252,正向有功电能,Positive active electric energy,uint32,0.01kWh,"Primary side, energy = Value * 0.01 * CT multiplier * PT multiplier"
,253,,,,,
,254,反向有功电能,Reverse active electric energy,uint32,0.01kWh,"Primary side, energy = Value * 0.01 * CT multiplier * PT multiplier"
,255,,,,,
,256,当前正向有功最大需量,The current maximum positive active power demand,uint32,0.1kW,
,257,,,,,
,258,通讯状态,communication status,int16,,1:normal 0:lost
,259,CT倍率,ct_ratio,int16,,
,260,PT倍率,pt_ratio,uint16,,
,261~279,预留,Reserved,,,
other meter 其它电表,280~1299,预留,Reserved,,,
